I [client_worker.cc:224] 2017-06-16 15:45:37.114 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.117 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.123 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.125 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.129 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.132 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.137 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.139 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.142 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.142 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.146 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.149 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.155 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.160 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.166 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.171 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.177 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.179 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.182 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.182 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.186 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.189 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.193 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.195 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.198 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.201 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.208 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.213 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.218 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.223 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.229 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.231 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.234 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.234 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.237 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.237 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.240 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.240 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.243 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.246 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.252 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.255 | start txn!!! : 0
